Id;ParentId;case_id;parent_case_id;Id_parent;Symptom__c;Incident_Reason__c;symptom_name;incident_reason_name;macro_symptom
5003X000027DF4TQAW;;5003X000027DF4TQAW;;;;;;;outro
5003X000027DF4UQAW;;5003X000027DF4UQAW;;;;;;;outro
5003X000027DcHiQAK;;5003X000027DcHiQAK;;;;;;;outro
5003X000027DcrpQAC;;5003X000027DcrpQAC;;;;;;;outro
5003X000027DdBVQA0;;5003X000027DdBVQA0;;;;;;;outro
5003X000027DqpVQAS;;5003X000027DqpVQAS;;;;;;;outro
5003X000027ycT0QAI;;5003X000027ycT0QAI;;;;;;;outro
5003X000027zL2yQAE;;5003X000027zL2yQAE;;;;;;;outro
5003X000027zUwDQAU;;5003X000027zUwDQAU;;;;;;;outro
5003X000027zV8rQAE;;5003X000027zV8rQAE;;;;;;;outro
5003X000027zVDDQA2;;5003X000027zVDDQA2;;;;;;;outro
5003X000027zdZ5QAI;;5003X000027zdZ5QAI;;;;;;;outro
5003X0000280AifQAE;;5003X0000280AifQAE;;;;;;;outro
5003X0000280BbaQAE;;5003X0000280BbaQAE;;;;;;;outro
5003X0000280DFkQAM;;5003X0000280DFkQAM;;;;;;;outro
5003X0000280F5SQAU;;5003X0000280F5SQAU;;;;;;;outro
5003X0000280HDhQAM;5003X0000280HATQA2;5003X0000280HDhQAM;5003X0000280HATQA2;5003X0000280HATQA2;;;;;outro
5003X0000280ISJQA2;;5003X0000280ISJQA2;;;;;;;outro
5003X0000280Kz4QAE;;5003X0000280Kz4QAE;;;;;;;outro
5003X0000280SapQAE;;5003X0000280SapQAE;;;;;;;outro
5003X0000280ZWNQA2;;5003X0000280ZWNQA2;;;;;;;outro
5003X0000280fHTQAY;;5003X0000280fHTQAY;;;;;;;outro
5003X0000280nZGQAY;;5003X0000280nZGQAY;;;;;;;outro
5003X00002810cJQAQ;;5003X00002810cJQAQ;;;;;;;outro
5003X000028123GQAQ;;5003X000028123GQAQ;;;;;;;outro
5003X0000281N1CQAU;;5003X0000281N1CQAU;;;;;;;outro
5003X0000281pKIQAY;;5003X0000281pKIQAY;;;;;;;outro
5003X0000281pXwQAI;;5003X0000281pXwQAI;;;;;;;outro
5003X0000281sICQAY;;5003X0000281sICQAY;;;;;;;outro
5003X0000281zaRQAQ;;5003X0000281zaRQAQ;;;;;;;outro
5003X00002825i9QAA;;5003X00002825i9QAA;;;;;;;outro
5003X00002825ocQAA;;5003X00002825ocQAA;;;;;;;outro
5003X00002825qIQAQ;;5003X00002825qIQAQ;;;;;;;outro
5003X00002825uKQAQ;;5003X00002825uKQAQ;;;;;;;outro
5003X000028e0FKQAY;;5003X000028e0FKQAY;;;;;;;outro
5003X000028e1OlQAI;;5003X000028e1OlQAI;;;;;;;outro
5003X000028e2QNQAY;;5003X000028e2QNQAY;;;;;;;outro
